id,$a$,$v_{c}$,$\alpha$,$\tau$,$\eta$,$t$,X^2,bic
36.0,1.128828114981381,4.352847994440484,3.1480279608910218,107.39858019726486,194.36230772127414,0.3627339920960872,9.562637312908484,1846.8841501618776
37.0,0.8584730741492632,2.9086239901708657,1.6938221290595845,62.69609829436945,137.9198393946555,0.3637597107442845,9.679517287107721,2096.1029061570252
38.0,1.117026702376683,3.752314231268961,2.5155045447102555,67.8897132836501,216.14106834048047,0.3601781953138452,16.509914584777935,1944.5610331339699
39.0,0.707896691657788,2.367928003408628,1.7846557121864597,92.3572549036819,225.45438521149123,0.27254330659146286,8.69535926160259,2081.3895513095995
40.0,0.9972071757870692,5.909593682740743,1.5409682298455887,61.10932890679942,154.71992561843456,0.39348964552010446,3.9280083147861706,1806.441507774986
41.0,1.0958297406466375,4.676909021767902,2.0918808810370675,39.49664148507229,204.80390981482662,0.39760755523788316,9.670252956760498,1871.551899043918
42.0,0.9917130119230705,6.31913721537507,3.1308862731005354,21.441644896302208,118.03303870737606,0.2996252601837819,4.724638509662883,1789.604888711717
43.0,1.1886195312708465,3.4038304660182517,1.9677841342734879,25.28845026636985,246.5572358885631,0.3932003328044773,14.400451531072529,1904.0104462437087
44.0,0.9353925253911488,4.57705024965969,2.189536508240905,117.06529882616792,204.51849658498605,0.29059062872671704,13.188966694365112,1922.7895310024767
45.0,1.0983413701654003,5.793062098133255,3.0543600006560125,28.84277321536066,208.21389559619948,0.3544359013231769,5.171378359566738,1844.2407532894163
46.0,0.9245134608798367,4.335859247030193,2.0941660680249106,119.4083828162684,148.86830199980847,0.33266340059315525,7.955281644936376,1929.5959937440678
47.0,0.8984039449536434,6.262693799155265,3.0831836671525013,70.72483685877549,207.83722112230967,0.30239615257312863,3.6584344038315963,1834.2300183052878
48.0,0.7934343886672376,4.522711955739186,2.786986839166897,73.53323055169852,305.84038367039284,0.38693157334808403,6.329433029051799,1950.065723833046
49.0,0.7186630744053681,5.011442958159142,4.45552558927218,119.92525194942945,137.58514167087412,0.3200326002796811,14.715045892254217,1889.8888668589639
50.0,0.9204412866143292,4.599976906472218,4.460118426027638,22.839414351377087,170.65340480125997,0.2993060033629691,12.866743866874689,1896.9898058706603
51.0,1.1285214695705565,3.2266279091988452,2.1097590492663683,94.48249792515085,156.20081383412708,0.3173224583255745,15.041917675218148,2007.4418558467119
52.0,1.0973318818237126,6.1592580134403185,2.467184412559993,23.868461826454563,170.08451630849842,0.3668815823083603,5.907654197720543,1808.42115365792
53.0,0.9357877079308755,3.754113098644832,3.552116079641344,21.246612853288546,199.67701988137554,0.2774415885170669,12.725424230887572,1970.7914577540228
54.0,1.0929987926338405,6.3054276698391645,4.474542997945244,113.20711220512874,120.11393795769308,0.3207853256961146,4.882722177311149,1789.7629723793655
55.0,1.0969962907358781,6.190305575116046,4.005805328761643,111.47071920850806,169.19515131292806,0.34321958483105136,3.001523771648728,1787.8817739737028
56.0,0.916168648975417,4.128743865616621,3.8322385619479755,63.31473271997877,234.29854186326335,0.3107497997626532,12.77434020736881,1939.8984638256532
57.0,0.8302904867747103,5.42083050307598,3.0921028680361182,65.70940175636349,214.62850736557237,0.30879348532923434,10.256703740891167,1899.0797458433901
58.0,0.9768582666565664,5.706108749401832,2.53764039191887,37.37077884450028,276.0912570213697,0.3152028227295893,11.025675613535283,1880.023816628868
59.0,1.1124389216227186,5.877447011611799,2.344618157778386,118.21190922635111,118.14397844969373,0.32329501561144214,2.8631806012211074,1792.7484538672184
60.0,1.03777502363535,5.0022244922449834,2.976734179141172,62.02375386449574,122.56213139977855,0.3707447972875377,1.2271493145931682,1828.6027568549932
61.0,1.2350753691927432,4.964560272232541,3.402724859297666,21.43857394522255,137.66265153358526,0.2801705084146678,14.153996696137503,1868.037945199749
62.0,0.7759171392920445,3.286778989870243,2.7917903701639215,30.7000492654119,200.21156518546874,0.31177850630046516,13.32841921521534,1998.285354119101
63.0,0.7508748371631757,2.6709488260185985,2.1667277902398845,69.75300155137536,145.0583579435204,0.2855109584740104,9.797179369473524,2108.6564572935044
64.0,1.092324859544984,5.112101703691533,1.740857710288077,97.19611846927295,122.3703817262211,0.30386160435534265,3.728483093911354,1820.3010889626726
65.0,1.118590526645199,3.036352337872378,1.8429997137026923,33.773095908271685,242.17070751088926,0.31736136341415533,13.403073345838477,2053.0782375135736
66.0,1.0898741349219758,5.820109724422977,1.7362932035767469,21.33415606281099,301.54765052524795,0.38354194510858985,4.225963616674131,1803.1894896158437
67.0,0.9048971338792611,3.0104915638892975,1.7153039769512834,50.30963747215547,192.89045888063518,0.26762884334440556,15.971087124454435,1993.9839198711213
68.0,1.0936961775097414,2.9653194537454635,2.155617024624684,86.13743375332149,204.39926398116683,0.29557022159089197,28.224223202662877,2025.6496218559648
69.0,0.9630730893151228,5.662603452043982,3.017577345485089,79.9755176642318,148.87284598585578,0.2968642492339999,14.37316142379145,1847.1235007205364
70.0,1.0672391851750318,6.033212639402544,2.1813910352367625,119.75098456887878,199.932437253916,0.2867422146213836,2.9093180056961945,1810.9430484265774
71.0,0.9272176720984321,2.5225760593007616,1.8695410868133846,58.18381941741747,307.50941876231394,0.2777054072709467,16.746052191757656,2068.8689898572097
72.0,1.147508139593411,3.2477059338288776,3.853775449548972,119.22774295932334,186.6399296274146,0.3684621077855862,12.253250068284771,1969.2791297759588
73.0,0.7481927077947872,4.470165804384058,4.460076382195286,107.29628121488261,191.78119837142307,0.27284593493106524,22.966305639522393,1924.9823554260106
74.0,0.954899820624028,5.783712225649093,3.6914835443324425,70.46150041677684,184.70313368460816,0.2824734067343917,6.745602002566029,1807.4702779028894
